"location","variable","Unit","Date","Value"
"Rwanda","Kidnapping at the National Level Count","Number","2008","8"
"Rwanda","Kidnapping at the National Level Count","Number","2009","8"
"Rwanda","Kidnapping at the National Level Count","Number","2010","12"
"Rwanda","Kidnapping at the National Level Count","Number","2011","12"
"Rwanda","Kidnapping at the National Level Count","Number","2012","10"
"Rwanda","Kidnapping at the National Level Count","Number","2013","21"
"Algeria","Kidnapping at the National Level Count","Number","2003","220"
"Algeria","Kidnapping at the National Level Count","Number","2004","149"
"Algeria","Kidnapping at the National Level Count","Number","2005","101"
"Algeria","Kidnapping at the National Level Count","Number","2006","302"
"Algeria","Kidnapping at the National Level Count","Number","2007","241"
"Algeria","Kidnapping at the National Level Count","Number","2008","205"
"Algeria","Kidnapping at the National Level Count","Number","2009","207"
"Algeria","Kidnapping at the National Level Count","Number","2010","177"
"Algeria","Kidnapping at the National Level Count","Number","2011","168"
"Algeria","Kidnapping at the National Level Count","Number","2012","106"
"Algeria","Kidnapping at the National Level Count","Number","2013","223"
"Algeria","Kidnapping at the National Level Count","Number","2014","336"
"Algeria","Kidnapping at the National Level Count","Number","2015","517"
"South Africa","Kidnapping at the National Level Count","Number","2014","4692"
"South Africa","Kidnapping at the National Level Count","Number","2015","5013"
"South Africa","Kidnapping at the National Level Count","Number","2016","4991"
"South Africa","Kidnapping at the National Level Count","Number","2017","5455"
"Egypt","Kidnapping at the National Level Count","Number","2003","16"
"Egypt","Kidnapping at the National Level Count","Number","2004","21"
"Egypt","Kidnapping at the National Level Count","Number","2005","18"
"Egypt","Kidnapping at the National Level Count","Number","2006","29"
"Egypt","Kidnapping at the National Level Count","Number","2007","36"
"Egypt","Kidnapping at the National Level Count","Number","2008","47"
"Egypt","Kidnapping at the National Level Count","Number","2009","70"
"Egypt","Kidnapping at the National Level Count","Number","2010","93"
"Egypt","Kidnapping at the National Level Count","Number","2011","273"
"Guinea","Kidnapping at the National Level Count","Number","2003","14"
"Guinea","Kidnapping at the National Level Count","Number","2004","4"
"Guinea","Kidnapping at the National Level Count","Number","2005","16"
"Guinea","Kidnapping at the National Level Count","Number","2006","0"
"Guinea","Kidnapping at the National Level Count","Number","2007","18"
"Guinea","Kidnapping at the National Level Count","Number","2008","25"
"Lesotho","Kidnapping at the National Level Count","Number","2007","64"
"Lesotho","Kidnapping at the National Level Count","Number","2008","40"
"Lesotho","Kidnapping at the National Level Count","Number","2009","62"
"Kenya","Kidnapping at the National Level Count","Number","2004","235"
"Kenya","Kidnapping at the National Level Count","Number","2005","152"
"Kenya","Kidnapping at the National Level Count","Number","2006","220"
"Kenya","Kidnapping at the National Level Count","Number","2007","173"
"Kenya","Kidnapping at the National Level Count","Number","2008","73"
"Kenya","Kidnapping at the National Level Count","Number","2009","95"
"Kenya","Kidnapping at the National Level Count","Number","2010","79"
"Kenya","Kidnapping at the National Level Count","Number","2011","55"
"Kenya","Kidnapping at the National Level Count","Number","2012","75"
"Kenya","Kidnapping at the National Level Count","Number","2013","59"
"Kenya","Kidnapping at the National Level Count","Number","2014","33"
"Kenya","Kidnapping at the National Level Count","Number","2015","110"
"Kenya","Kidnapping at the National Level Count","Number","2017","38"
"Kenya","Kidnapping at the National Level Count","Number","2018","11"
"Cabo Verde","Kidnapping at the National Level Count","Number","2010","6"
"Cabo Verde","Kidnapping at the National Level Count","Number","2011","7"
"Cabo Verde","Kidnapping at the National Level Count","Number","2012","22"
"Cabo Verde","Kidnapping at the National Level Count","Number","2013","28"
"Cabo Verde","Kidnapping at the National Level Count","Number","2014","3"
"Cabo Verde","Kidnapping at the National Level Count","Number","2015","5"
"Cabo Verde","Kidnapping at the National Level Count","Number","2016","23"
"Cabo Verde","Kidnapping at the National Level Count","Number","2017","6"
"Cabo Verde","Kidnapping at the National Level Count","Number","2018","14"
"Cameroon","Kidnapping at the National Level Count","Number","2010","460"
"Cameroon","Kidnapping at the National Level Count","Number","2011","378"
"Cameroon","Kidnapping at the National Level Count","Number","2012","532"
"Cameroon","Kidnapping at the National Level Count","Number","2013","880"
"Cameroon","Kidnapping at the National Level Count","Number","2014","429"
"Cameroon","Kidnapping at the National Level Count","Number","2015","985"
"Cameroon","Kidnapping at the National Level Count","Number","2016","572"
"Cameroon","Kidnapping at the National Level Count","Number","2017","859"
"Burundi","Kidnapping at the National Level Count","Number","2008","24"
"Burundi","Kidnapping at the National Level Count","Number","2009","31"
"Burundi","Kidnapping at the National Level Count","Number","2010","24"
"Burundi","Kidnapping at the National Level Count","Number","2011","49"
"Burundi","Kidnapping at the National Level Count","Number","2012","49"
"Burundi","Kidnapping at the National Level Count","Number","2013","58"
"Burundi","Kidnapping at the National Level Count","Number","2014","79"
"Benin","Kidnapping at the National Level Count","Number","2017","530"
"Eswatini","Kidnapping at the National Level Count","Number","2003","122"
"Eswatini","Kidnapping at the National Level Count","Number","2004","96"
"Zimbabwe","Kidnapping at the National Level Count","Number","2003","139"
"Zimbabwe","Kidnapping at the National Level Count","Number","2004","198"
"Zimbabwe","Kidnapping at the National Level Count","Number","2005","43"
"Zimbabwe","Kidnapping at the National Level Count","Number","2006","90"
"Zimbabwe","Kidnapping at the National Level Count","Number","2007","256"
"Zimbabwe","Kidnapping at the National Level Count","Number","2008","222"
"Sudan","Kidnapping at the National Level Count","Number","2008","616"
"Guinea-Bissau","Kidnapping at the National Level Count","Number","2013","24"
"Guinea-Bissau","Kidnapping at the National Level Count","Number","2014","61"
"Guinea-Bissau","Kidnapping at the National Level Count","Number","2015","7"
"Guinea-Bissau","Kidnapping at the National Level Count","Number","2016","13"
"United Republic of Tanzania","Kidnapping at the National Level Count","Number","2010","0"
"United Republic of Tanzania","Kidnapping at the National Level Count","Number","2011","0"
"United Republic of Tanzania","Kidnapping at the National Level Count","Number","2012","0"
"United Republic of Tanzania","Kidnapping at the National Level Count","Number","2013","0"
"United Republic of Tanzania","Kidnapping at the National Level Count","Number","2014","0"
"United Republic of Tanzania","Kidnapping at the National Level Count","Number","2015","0"
"Senegal","Kidnapping at the National Level Count","Number","2015","2"
"Uganda","Kidnapping at the National Level Count","Number","2007","54"
"Uganda","Kidnapping at the National Level Count","Number","2008","65"
"Uganda","Kidnapping at the National Level Count","Number","2009","202"
"Uganda","Kidnapping at the National Level Count","Number","2010","150"
"Uganda","Kidnapping at the National Level Count","Number","2011","167"
"Uganda","Kidnapping at the National Level Count","Number","2012","132"
"Uganda","Kidnapping at the National Level Count","Number","2013","333"
"Uganda","Kidnapping at the National Level Count","Number","2014","223"
"Uganda","Kidnapping at the National Level Count","Number","2016","938"
"Madagascar","Kidnapping at the National Level Count","Number","2010","0"
"Madagascar","Kidnapping at the National Level Count","Number","2011","1"
"Madagascar","Kidnapping at the National Level Count","Number","2012","1"
"Madagascar","Kidnapping at the National Level Count","Number","2013","6"
"Madagascar","Kidnapping at the National Level Count","Number","2014","14"
"Madagascar","Kidnapping at the National Level Count","Number","2015","11"
"Mauritius","Kidnapping at the National Level Count","Number","2009","34"
"Mauritius","Kidnapping at the National Level Count","Number","2010","35"
"Mauritius","Kidnapping at the National Level Count","Number","2011","50"
